AS_events	E2F Targets	G2M Checkpoint	Mitotic Spindle	Oxidative Phosphorylation	Myc Targets V2	Mtorc1 Signaling	DNA Repair	Estrogen Response Late	Androgen Response	Glycolysis	Unfolded Protein Response	Myogenesis	Adipogenesis	Myc Targets V1	Hedgehog Signaling	Spermatogenesis	Estrogen Response Early	Heme Metabolism	Coagulation	UV Response Dn	Interferon Alpha Response	Hypoxia	Apical Junction	Bile Acid Metabolism	Apoptosis	Complement	Protein Secretion	UV Response Up	KRAS Signaling Up	Notch Signaling	Epithelial Mesenchymal Transition	Angiogenesis	TGB Beta Signaling	KRAS Signaling Dn	Xenobiotic Metabolism	P53 Pathway	Inflammatory Response	Wnt Beta Catenin Signaling	Allograft Rejection	Peroxisome	TNFa Signaling Via NFkB	Fatty Acid Metabolism	Pancreas Beta Cells	Apical Surface	IL6 JAK STAT3 Signaling	Interferon Gamma Response	IL2 STAT5 Signaling	PI3K AKT mTOR Signaling	Reactive Oxigen Species Pathway	Cholesterol Homeostasis
STIM1_chr11_+_4105902_4105995_4104728_4107706	-0.64591833	-0.657421294	-0.601411502	NaN	-0.541438496	-0.490165878	-0.346656551	NaN	NaN	NaN	NaN	0.53012616	0.428937503	-0.399116805	NaN	NaN	NaN	NaN	NaN	0.338446513	NaN	0.394930182	0.377684022	NaN	NaN	NaN	NaN	NaN	NaN	0.325695316	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.333951986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ECHDC2_chr1_-_53379566_53379767_53377462_53387224	NaN	NaN	NaN	-0.400600716	NaN	NaN	NaN	-0.481050942	-0.400483243	NaN	-0.308914522	NaN	NaN	NaN	-0.333596248	NaN	-0.39112605	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.339599321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TINF2_chr14_-_24711095_24711127_24710982_24711346	NaN	NaN	NaN	0.414068689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.340709325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MAGIX_chrX_+_49021245_49021428_49021127_49021527	-0.365837266	-0.340353543	-0.342747061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PRUNE2_chr9_-_79256887_79256896_79253204_79259654	-0.389202219	-0.374169757	-0.356874364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SRSF11_chr1_+_70697541_70697658_70694238_70697950	-0.444974331	-0.486320631	-0.436928247	NaN	-0.487429465	-0.488160607	-0.484849181	-0.422579948	-0.32614875	-0.426365767	-0.412813919	NaN	NaN	NaN	-0.425688135	NaN	NaN	NaN	NaN	NaN	-0.374747383	NaN	NaN	NaN	NaN	NaN	NaN	-0.303058781	-0.320514182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PRPF39_chr14_+_45579096_45579196_45578983_45579296	NaN	NaN	NaN	NaN	NaN	NaN	-0.347192254	-0.356013094	NaN	NaN	-0.314450808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.315838259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.301715708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NUDT2_chr9_+_34336226_34336339_34329597_34338710	-0.324987691	-0.3256525	-0.310776614	NaN	-0.341766939	-0.319941031	NaN	NaN	NaN	-0.308933504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
INO80E_chr16_+_30013756_30014334_30012851_30016541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.363287848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.349475639	NaN
FLAD1_chr1_+_154960580_154961325_154956542_154965188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.349157196	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.305754112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BCAR1_chr16_-_75270779_75270896_75269884_75276367	0.422578915	0.431410292	0.363876688	NaN	0.360147239	0.331380422	NaN	NaN	NaN	NaN	NaN	-0.397155915	NaN	NaN	0.314434042	NaN	NaN	NaN	NaN	-0.354270341	NaN	-0.394951919	-0.310328455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.336832726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.342126973	NaN
RPS6KB1_chr17_+_58008160_58008413_58007535_58008982	-0.325739562	-0.328012684	-0.308042728	NaN	NaN	NaN	-0.304884933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MPST_chr22_+_37419792_37419968_37415815_37420232	NaN	NaN	NaN	0.55162475	NaN	NaN	NaN	0.372451428	0.346342219	NaN	0.326693314	NaN	NaN	NaN	NaN	-0.427348629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.302249684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MORF4L2_chrX_-_102939608_102939657_102933548_102940098	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.308860138	NaN	NaN	NaN	NaN	NaN	-0.391382894	NaN	-0.364806834	-0.307704116	-0.313839506	NaN	NaN	NaN	-0.367874117	NaN	-0.330983444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.354880579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
DDX39A_chr19_-_14521232_14521417_14521146_14521800	-0.584410706	-0.613387919	-0.56557539	NaN	-0.564752383	-0.588614116	-0.470389194	NaN	NaN	-0.472528004	-0.361859867	NaN	NaN	-0.37471568	-0.37514874	NaN	NaN	NaN	NaN	NaN	-0.355159407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.331963579	NaN	-0.311181758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ACSF3_chr16_+_89180746_89180895_89178654_89187208	0.337056888	0.356700312	NaN	NaN	0.362598802	0.334667759	0.316116471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.30786748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TMPRSS2_chr21_-_42870045_42870116_42861520_42880007	-0.367584977	-0.326573003	-0.34933004	0.377843114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CCHCR1_chr6_-_31122272_31122576_31118899_31124507	NaN	NaN	NaN	0.314051698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.306439137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
RBM5_chr3_+_50137964_50138038_50137484_50140515	0.609193828	0.608409433	0.57645149	NaN	0.497041802	0.491616617	0.445286919	NaN	NaN	0.359224637	NaN	NaN	NaN	0.390984033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NMRAL1_chr16_-_4521314_4521450_4519466_4524093	NaN	-0.316170994	NaN	NaN	-0.382533471	-0.335585505	-0.390837809	-0.431922991	-0.338309638	-0.395694998	-0.313153264	NaN	NaN	NaN	-0.405888268	NaN	-0.341514631	NaN	NaN	NaN	-0.308913223	NaN	NaN	NaN	NaN	NaN	NaN	-0.351226648	-0.320734462	NaN	-0.307524969	NaN	NaN	NaN	NaN	NaN	-0.307976271	NaN	NaN	-0.326189409	NaN	NaN	NaN	NaN	-0.301072599	NaN	NaN	NaN	NaN	NaN
ADD3_chr10_+_111892062_111892158_111890244_111893083	0.364850877	0.364861377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4007855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.31472737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
IFT22_chr7_-_100962236_100962344_100961494_100964951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.315484685	0.337905285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CD151_chr11_+_834529_834745_833026_836062	-0.392949818	-0.35288089	-0.39971512	0.522058993	NaN	NaN	NaN	NaN	0.321547293	NaN	NaN	NaN	NaN	NaN	NaN	-0.564050372	NaN	-0.348287873	-0.447979176	NaN	NaN	NaN	NaN	-0.422385748	NaN	-0.344975276	NaN	NaN	NaN	NaN	NaN	-0.366057508	NaN	-0.312182756	-0.345092493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.378430343	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ACY1_chr3_+_52019222_52019287_52018174_52019376	NaN	0.305087467	NaN	0.316260759	0.399239108	0.323982196	0.339104276	0.349700267	0.385480976	NaN	0.353221064	NaN	NaN	NaN	0.350202104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NOL3_chr16_+_67207764_67207949_67204477_67208064	NaN	NaN	NaN	-0.389220471	NaN	NaN	NaN	-0.402621816	NaN	NaN	NaN	NaN	-0.511119263	NaN	NaN	NaN	-0.448362834	NaN	NaN	-0.400158724	NaN	-0.460225743	-0.383849246	NaN	-0.314249202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.346753394	NaN	NaN	-0.394646486	NaN	NaN	NaN	NaN	NaN	-0.305891181	NaN	-0.359804583	NaN	NaN	NaN	NaN	NaN	NaN
IMMP1L_chr11_-_31477806_31477933_31455117_31531065	0.342947185	0.355713144	0.362405674	NaN	0.313282598	NaN	0.318606847	NaN	NaN	0.353750193	NaN	NaN	NaN	NaN	NaN	0.320366307	NaN	0.379355901	0.302699252	NaN	NaN	NaN	NaN	0.364559755	NaN	0.322473627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.34386935	NaN	NaN	0.328780352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
FMNL3_chr12_-_50040421_50040536_50039686_50040668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.310873905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.315274428	NaN	NaN	NaN	NaN
CRELD1_chr3_+_9979698_9979790_9976601_9982533	NaN	NaN	NaN	0.445242786	0.310960339	NaN	0.412761455	0.431711549	0.343019325	NaN	NaN	NaN	NaN	NaN	0.332206096	NaN	NaN	NaN	NaN	NaN	0.354741942	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.330144757	0.30511836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TREX1_chr3_+_48508028_48508040_48507708_48508138	NaN	NaN	NaN	0.416714382	NaN	NaN	NaN	NaN	0.302578642	NaN	NaN	NaN	NaN	NaN	NaN	-0.484701287	NaN	NaN	-0.390042921	NaN	NaN	NaN	NaN	-0.354910659	NaN	-0.309010557	NaN	NaN	NaN	NaN	NaN	-0.351413184	NaN	NaN	-0.365681612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
GGT1_chr22_+_25004956_25005198_25003990_25005931	-0.310605472	-0.331013112	NaN	NaN	-0.301040193	NaN	-0.317488894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
GINS1_chr20_+_25394425_25394490_25388531_25405846	-0.504365157	-0.459997435	-0.433851799	0.394492797	NaN	-0.3107565	NaN	0.445623486	0.470975241	NaN	NaN	NaN	0.453336138	-0.309907247	NaN	NaN	0.419122004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.469436172	NaN	0.302810682	NaN	NaN	0.440929345	NaN	NaN	NaN	NaN	NaN	0.3899652	NaN	NaN	NaN	NaN	0.305106806	NaN	NaN	NaN	NaN	0.305955278	NaN	NaN	NaN	NaN
HPS1_chr10_-_100190887_100191048_100190427_100193696	-0.335502031	-0.319150078	-0.319134738	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NIN_chr14_-_51223209_51225348_51221585_51226574	-0.330589413	-0.356205339	NaN	NaN	-0.38234963	NaN	NaN	NaN	NaN	NaN	NaN	0.403717129	NaN	-0.316280211	NaN	NaN	NaN	NaN	NaN	0.386817844	NaN	NaN	0.334232083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.30405104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TMEM184A_chr7_-_1589182_1589240_1588324_1589489	-0.421386961	-0.444333083	-0.418024556	NaN	-0.388583531	-0.39134927	-0.365236258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SVIL_chr10_-_29797270_29797318_29788192_29801663	-0.580135696	-0.542914206	-0.573368917	0.526570639	-0.318186798	-0.383329322	NaN	0.42851725	0.368975593	NaN	NaN	0.33410729	0.573902858	NaN	NaN	NaN	0.434847745	-0.34737461	NaN	NaN	NaN	0.398224794	NaN	NaN	0.349595757	NaN	NaN	NaN	NaN	0.365020955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.320681052	NaN	NaN	NaN	NaN	NaN	NaN
NCOR2_chr12_-_124812092_124812179_124810916_124815390	0.331917662	0.36343316	0.31748794	NaN	0.353010723	NaN	NaN	NaN	NaN	NaN	NaN	-0.384232079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.316785184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CAPN3_chr15_+_42698123_42698141_42695975_42700408	-0.344584044	-0.344819205	-0.316466023	NaN	-0.303963881	NaN	NaN	NaN	NaN	NaN	NaN	0.380567204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.300595319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CCDC130_chr19_+_13872304_13872382_13870086_13873112	-0.327856111	-0.36463918	-0.337454519	NaN	-0.334477689	-0.337550339	-0.382413164	-0.35204525	NaN	-0.378179682	NaN	NaN	NaN	NaN	-0.384319819	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.31635776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SEPT6_chrX_-_118759297_118759359_118754014_118763280	0.347616335	0.388172112	0.328092017	NaN	0.388123919	NaN	NaN	NaN	NaN	NaN	NaN	-0.329889529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PRUNE2_chr9_-_79239938_79239974_79229516_79244107	-0.531552439	-0.523726146	-0.500030194	NaN	-0.413125585	-0.346315427	NaN	NaN	NaN	NaN	NaN	0.445632212	0.519533938	NaN	NaN	NaN	NaN	NaN	NaN	0.332316037	NaN	0.404226166	0.368760738	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CCND3_chr6_-_41908107_41908323_41905132_42016238	0.479925843	0.434667414	0.455872175	-0.470671	NaN	0.3203385	NaN	NaN	NaN	NaN	NaN	NaN	-0.361963654	NaN	NaN	NaN	NaN	0.326308764	0.32087907	NaN	NaN	NaN	NaN	NaN	-0.300885922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PIGB_chr15_+_55642896_55643001_55634000_55646995	NaN	NaN	NaN	0.368505807	0.31824712	NaN	NaN	0.331765957	0.441575152	NaN	0.360241518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
